District,Location,School Type,Category,Composition,Number,Population,No/100000
Hyderabad,Urban,Secondary,TEACHING STAFF,MALE,1260,"2,199,463",57.28671044
Hyderabad,Urban,Secondary,TEACHING STAFF,FEMALE,1553,"2,199,463",70.6081439
Hyderabad,Urban,Higher secondary,INSTITUTIONS,TOTAL,14,"2,199,463",0.636519005
Hyderabad,Urban,Higher secondary,INSTITUTIONS,MALE,4,"2,199,463",0.181862573
Hyderabad,Urban,Higher secondary,INSTITUTIONS,FEMALE,6,"2,199,463",0.272793859
Hyderabad,Urban,Higher secondary,INSTITUTIONS,MIXED,4,"2,199,463",0.181862573
Hyderabad,Urban,Higher secondary,ENROLMENT,TOTAL,17362,"2,199,463",789.3744973
Hyderabad,Urban,Higher secondary,ENROLMENT,MALE,8866,"2,199,463",403.0983927
Hyderabad,Urban,Higher secondary,ENROLMENT,FEMALE,8496,"2,199,463",386.2761047
Hyderabad,Urban,Higher secondary,TEACHING STAFF,TOTAL,859,"2,199,463",39.05498751
Hyderabad,Urban,Higher secondary,TEACHING STAFF,MALE,375,"2,199,463",17.0496162
Hyderabad,Urban,Higher secondary,TEACHING STAFF,FEMALE,484,"2,199,463",22.00537131
Hyderabad,Rural,Primary,INSTITUTIONS,TOTAL,421,"2,199,463",19.14103579
Hyderabad,Rural,Primary,INSTITUTIONS,MALE,58,"2,199,463",2.637007306
Hyderabad,Rural,Primary,INSTITUTIONS,FEMALE,67,"2,199,463",3.046198095
Hyderabad,Rural,Primary,INSTITUTIONS,MIXED,296,"2,199,463",13.45783039
Hyderabad,Rural,Primary,ENROLMENT,TOTAL,31880,"2,199,463",1449.444705
Hyderabad,Rural,Primary,ENROLMENT,MALE,19071,"2,199,463",867.0752816
Hyderabad,Rural,Primary,ENROLMENT,FEMALE,12809,"2,199,463",582.3694238
Hyderabad,Rural,Primary,TEACHING STAFF,TOTAL,1009,"2,199,463",45.87483399
Hyderabad,Rural,Primary,TEACHING STAFF,MALE,760,"2,199,463",34.55388884
Hyderabad,Rural,Primary,TEACHING STAFF,FEMALE,249,"2,199,463",11.32094516
Hyderabad,Rural,Middle,INSTITUTIONS,TOTAL,25,"2,199,463",1.13664108
Hyderabad,Rural,Middle,INSTITUTIONS,MALE,3,"2,199,463",0.13639693
Hyderabad,Rural,Middle,INSTITUTIONS,FEMALE,7,"2,199,463",0.318259502
Hyderabad,Rural,Middle,INSTITUTIONS,MIXED,15,"2,199,463",0.681984648
Hyderabad,Rural,Middle,ENROLMENT,TOTAL,4886,"2,199,463",222.1451327
Hyderabad,Rural,Middle,ENROLMENT,MALE,3020,"2,199,463",137.3062425
Hyderabad,Rural,Middle,ENROLMENT,FEMALE,1866,"2,199,463",84.83889022
Hyderabad,Rural,Middle,TEACHING STAFF,TOTAL,220,"2,199,463",10.00244151
Hyderabad,Rural,Middle,TEACHING STAFF,MALE,150,"2,199,463",6.819846481
Hyderabad,Rural,Middle,TEACHING STAFF,FEMALE,70,"2,199,463",3.182595024
Hyderabad,Rural,Secondary,INSTITUTIONS,TOTAL,10,"2,199,463",0.454656432
Hyderabad,Rural,Secondary,INSTITUTIONS,MALE,1,"2,199,463",0.045465643
Hyderabad,Rural,Secondary,INSTITUTIONS,FEMALE,2,"2,199,463",0.090931286
Hyderabad,Rural,Secondary,INSTITUTIONS,MIXED,7,"2,199,463",0.318259502
Hyderabad,Rural,Secondary,ENROLMENT,TOTAL,7142,"2,199,463",324.7156238
Hyderabad,Rural,Secondary,ENROLMENT,MALE,4658,"2,199,463",211.778966
Hyderabad,Rural,Secondary,ENROLMENT,FEMALE,2484,"2,199,463",112.9366577
Hyderabad,Rural,Secondary,TEACHING STAFF,TOTAL,246,"2,199,463",11.18454823
Hyderabad,Rural,Secondary,TEACHING STAFF,MALE,188,"2,199,463",8.547540922
Hyderabad,Rural,Secondary,TEACHING STAFF,FEMALE,58,"2,199,463",2.637007306
Hyderabad,Rural,Higher secondary,INSTITUTIONS,TOTAL,2,"2,199,463",0.090931286
Hyderabad,Rural,Higher secondary,INSTITUTIONS,MALE,0,"2,199,463",0
Hyderabad,Rural,Higher secondary,INSTITUTIONS,FEMALE,0,"2,199,463",0
Hyderabad,Rural,Higher secondary,INSTITUTIONS,MIXED,2,"2,199,463",0.090931286
Hyderabad,Rural,Higher secondary,ENROLMENT,TOTAL,3751,"2,199,463",170.5416277
Hyderabad,Rural,Higher secondary,ENROLMENT,MALE,3111,"2,199,463",141.443616
